Condition,PromiseStage,Stage,accuracy,avg_rt,count_decision_sequence,count_loop1,count_trial_sequence,font_size,height,init_time,payoff,response,rt,subject_nr,synth_backend,tTrajectory,time_experiment,width,xTrajectory,yTrajectory
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","NA","0","0","60","1080","131","NA","1","335","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 959, 952, 938, 857, 805, 744, 661, 442, 294, 149, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 4]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1006, 945, 893, 823, 728, 509, 371, 234, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Cond,DecisionB,Stage,accuracy,avg_rt,count_decision_sequence,count_loop1,count_trial_sequence,font_size,height,init_time,payoff,response,rt,subject_nr,synth_backend,tTrajectory,time_experiment,width,xTrajectory,yTrajectory
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","0","0","0","60","1080","101","5","1","332","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 955, 929, 875, 713, 610, 501, 378, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 10, 10, 10, 10, 10, 9, 9]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 996, 946, 802, 716, 609, 504, 274, 154, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","1","0","0","60","1080","111","5","1","310","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 958, 942, 906, 807, 741, 659, 568, 336, 221, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 987, 894, 823, 739, 641, 421, 311, 188, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NoTrust","Teilnehmer A hat Ihnen keine 2 Punkte übermittelt.","Payback","1","undefined","2","0","0","60","1080","111","0","1","310","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 958, 942, 906, 807, 741, 659, 568, 336, 221, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 987, 894, 823, 739, 641, 421, 311, 188, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","2","0","1","60","1080","241","0","1","408","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 859, 773, 676, 572, 412, 345, 295, 251, 168, 137, 114, 105, 100, 99, 96, 96, 96]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 996, 963, 750, 608, 451, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","3","0","1","60","1080","61","5","1","262","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261]","1145","1920","[960, 960, 954, 938, 908, 857, 731, 659, 567, 449, 176, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 12, 13, 13]","[1010, 1010, 1009, 989, 954, 892, 741, 634, 509, 360, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","4","0","1","60","1080","111","5","1","334","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 956, 935, 909, 831, 779, 720, 643, 478, 389, 315, 244, 116, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 997, 965, 844, 767, 665, 555, 322, 206, 106, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","5","0","1","60","1080","101","5","1","334","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 943, 927, 899, 858, 758, 689, 620, 553, 399, 321, 238, 164, 44, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1000, 984, 952, 899, 760, 661, 561, 443, 177, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","5","0","2","60","1080","91","5","1","360","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351]","1145","1920","[960, 960, 960, 956, 951, 944, 931, 895, 861, 811, 757, 635, 564, 486, 404, 238, 156, 77, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1007, 1005, 999, 991, 966, 938, 900, 855, 737, 669, 595, 515, 354, 272, 198, 132, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
