Condition,PromiseStage,Stage,accuracy,avg_rt,count_decision_sequence,count_loop1,count_trial_sequence,font_size,height,init_time,payoff,response,rt,subject_nr,synth_backend,tTrajectory,time_experiment,width,xTrajectory,yTrajectory
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","6","0","2","60","1080","121","5","1","350","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 958, 933, 903, 863, 810, 668, 589, 504, 417, 239, 155, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 980, 928, 857, 761, 541, 425, 309, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NoTrust","Teilnehmer A hat Ihnen keine 2 Punkte übermittelt.","Payback","1","undefined","7","0","2","60","1080","121","0","1","350","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 958, 933, 903, 863, 810, 668, 589, 504, 417, 239, 155, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 980, 928, 857, 761, 541, 425, 309, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","8","0","2","60","1080","141","5","1","332","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 950, 929, 885, 725, 639, 550, 460, 249, 141, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1003, 992, 961, 822, 727, 616, 497, 250, 127, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","8","0","3","60","1080","91","5","1","288","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281]","1145","1920","[960, 960, 960, 960, 960, 960, 958, 941, 916, 885, 848, 725, 642, 533, 410, 153, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 984, 930, 851, 759, 516, 384, 251, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","9","0","3","60","1080","101","5","1","340","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331]","1145","1920","[960, 960, 960, 960, 960, 960, 959, 949, 931, 815, 728, 625, 512, 292, 170, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 3]","[1010, 1010, 1010, 1010, 1010, 1010, 1009, 999, 980, 878, 808, 719, 632, 451, 366, 285, 219, 97, 47, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","10","0","3","60","1080","101","5","1","342","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 956, 940, 908, 806, 732, 648, 543, 338, 244, 161, 96, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 984, 927, 770, 670, 562, 450, 234, 128, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","11","0","3","60","1080","121","5","1","349","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 958, 926, 896, 858, 721, 638, 541, 445, 265, 192, 132, 82, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1005, 957, 886, 813, 651, 556, 447, 346, 178, 104, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","11","0","4","60","1080","121","5","1","400","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 959, 937, 863, 812, 751, 669, 484, 397, 318, 244, 136, 88, 52, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 982, 877, 815, 747, 666, 490, 405, 331, 249, 118, 56, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","12","0","4","60","1080","211","5","1","500","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461, 471, 481, 491]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 951, 936, 926, 919, 919, 919, 907, 873, 750, 674, 592, 513, 376, 310, 243, 186, 106, 85, 76, 66, 57, 54, 51, 45, 33, 22, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1016, 1030, 1037, 1039, 1028, 1014, 988, 935, 790, 713, 626, 549, 405, 340, 281, 229, 145, 110, 87, 56, 15, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","13","0","4","60","1080","121","5","1","693","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461, 471, 481, 491, 501, 511, 521, 531, 541, 551, 561, 571, 581, 591, 601, 611, 621, 631, 641, 651, 661, 671, 681, 691]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 959, 957, 949, 913, 880, 834, 796, 715, 674, 628, 584, 509, 479, 455, 434, 394, 380, 363, 356, 348, 347, 347, 346, 346, 344, 344, 344, 344, 344, 344, 344, 344, 344, 343, 343, 343, 343, 343, 343, 341, 337, 333, 323, 304, 296, 292, 289, 285, 284, 277, 263, 199, 156, 109, 73, 52, 52, 52, 52, 52, 52, 52]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1004, 975, 938, 882, 829, 702, 641, 574, 511, 397, 353, 312, 274, 211, 189, 163, 150, 130, 122, 115, 109, 103, 101, 100, 100, 100, 100, 100, 100, 100, 100, 98, 98, 98, 98, 97, 96, 94, 93, 93, 93, 93, 93, 93, 92, 92, 91, 91, 89, 88, 84, 82, 75, 72, 72, 72, 72, 72, 72, 72]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","14","0","4","60","1080","121","5","1","460","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 956, 947, 920, 902, 886, 859, 785, 741, 694, 642, 530, 491, 443, 408, 347, 322, 304, 283, 247, 231, 220, 209, 191, 178, 160, 137, 77, 51, 38, 32, 26, 26, 26, 26, 26, 26, 26, 26]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1003, 980, 957, 932, 898, 793, 729, 657, 583, 448, 385, 328, 283, 199, 166, 143, 114, 68, 46, 29, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","14","0","5","60","1080","111","5","1","600","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461, 471, 481, 491, 501, 511, 521, 531, 541, 551, 561, 571, 581, 591]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 956, 947, 929, 897, 803, 746, 693, 635, 515, 461, 407, 358, 279, 238, 202, 171, 117, 93, 70, 46, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 997, 975, 936, 810, 741, 676, 609, 494, 439, 390, 345, 264, 223, 183, 146, 83, 59, 33, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","15","0","5","60","1080","161","5","1","572","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461, 471, 481, 491, 501, 511, 521, 531, 541, 551, 561, 571]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 961, 963, 963, 948, 927, 875, 835, 791, 743, 628, 574, 519, 475, 400, 371, 346, 327, 300, 293, 289, 284, 279, 278, 275, 274, 269, 265, 260, 255, 250, 249, 248, 246, 244, 244, 241, 239, 227, 220, 211, 204, 198, 197, 197, 197]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 993, 974, 937, 899, 811, 760, 712, 653, 536, 482, 422, 376, 293, 254, 218, 183, 134, 116, 108, 98, 87, 85, 80, 79, 71, 66, 62, 58, 52, 50, 48, 46, 43, 41, 39, 35, 25, 20, 17, 15, 13, 13, 13, 13]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","16","0","5","60","1080","131","5","1","445","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441]","1145","1920","[960, 960, 960, 960, 960, 960, 956, 949, 941, 934, 920, 904, 873, 847, 758, 694, 620, 535, 338, 258, 192, 141, 76, 60, 44, 35, 27, 26, 23, 21, 17, 14, 13, 13, 9, 6, 4, 4, 1, 1, 1, 1, 1, 1]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 987, 952, 885, 815, 653, 578, 494, 417, 267, 212, 165, 128, 78, 59, 43, 30, 16, 12, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"NoTrust","Teilnehmer A hat Ihnen keine 2 Punkte übermittelt.","Payback","1","undefined","17","0","5","60","1080","131","0","1","445","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441]","1145","1920","[960, 960, 960, 960, 960, 960, 956, 949, 941, 934, 920, 904, 873, 847, 758, 694, 620, 535, 338, 258, 192, 141, 76, 60, 44, 35, 27, 26, 23, 21, 17, 14, 13, 13, 9, 6, 4, 4, 1, 1, 1, 1, 1, 1]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 987, 952, 885, 815, 653, 578, 494, 417, 267, 212, 165, 128, 78, 59, 43, 30, 16, 12, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","17","0","6","60","1080","131","0","1","463","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461]","1145","1920","[960, 960, 960, 960, 960, 960, 957, 956, 954, 950, 942, 914, 871, 811, 743, 583, 505, 434, 378, 303, 283, 252, 220, 173, 154, 140, 123, 96, 80, 61, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1007, 1003, 1002, 1000, 999, 998, 994, 988, 946, 891, 826, 762, 626, 559, 493, 445, 362, 336, 302, 274, 232, 206, 191, 173, 140, 122, 103, 83, 42, 22, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","18","0","6","60","1080","91","5","1","388","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381]","1145","1920","[960, 960, 960, 960, 960, 960, 952, 920, 862, 749, 687, 630, 565, 438, 356, 284, 208, 90, 48, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1002, 976, 928, 812, 731, 653, 572, 408, 321, 245, 169, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","19","0","6","60","1080","121","5","1","453","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 959, 955, 950, 933, 916, 893, 861, 757, 676, 596, 520, 374, 305, 248, 195, 124, 110, 98, 93, 86, 86, 85, 85, 84, 81, 81, 79, 72, 71, 69, 68, 68, 68, 68, 68, 68, 68, 68]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1000, 948, 890, 831, 766, 627, 527, 437, 358, 201, 133, 71, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","20","0","6","60","1080","141","5","1","460","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451]","1145","1920","[960, 960, 961, 961, 961, 961, 961, 962, 962, 959, 955, 949, 943, 916, 896, 868, 828, 703, 633, 555, 488, 352, 296, 239, 190, 129, 114, 98, 87, 78, 74, 70, 62, 42, 33, 26, 23, 21, 21, 21, 21, 21, 21, 21, 21]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1003, 994, 982, 966, 895, 847, 793, 722, 544, 458, 366, 290, 154, 92, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Promise","Wie oft werden Sie die Hälfte zurückgeben?","Promise","1","undefined","20","0","7","60","1080","121","5","1","439","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431]","1145","1920","[960, 960, 960, 960, 960, 960, 960, 960, 959, 956, 950, 934, 922, 895, 859, 765, 711, 651, 588, 452, 385, 313, 245, 126, 83, 51, 26, 9, 8, 7, 6, 6, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1002, 985, 935, 888, 831, 755, 588, 492, 401, 318, 163, 82, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trust","Teilnehmer A hat Ihnen 2 Punkte übermittelt.","Payback","1","undefined","21","0","7","60","1080","141","5","1","524","0","legacy","[11, 21, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 431, 441, 451, 461, 471, 481, 491, 501, 511, 521]","1145","1920","[960, 960, 961, 961, 961, 961, 961, 961, 961, 957, 950, 942, 932, 908, 889, 858, 811, 684, 589, 481, 370, 175, 102, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 5, 6, 7, 7, 9, 9, 9, 9, 9]","[1010, 1010, 1010, 1010, 1010, 1010, 1007, 1003, 996, 981, 969, 956, 944, 910, 882, 845, 799, 678, 602, 515, 426, 279, 213, 146, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
